sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;industria;fabrica de;robledo;1;8;2018-01-30;6000000;microempresarial
femenino;comercio;variedades;robledo;1;8;2016-03-17;5000000;microempresarial
femenino;comercio;tienda;robledo;2;8;2017-05-12;7000000;microempresarial
femenino;comercio;granero;robledo;2;8;2019-02-18;6000000;microempresarial
femenino;industria;fabrica de;robledo;2;8;2018-08-29;3000000;microempresarial
femenino;servicio;mantenimiento en;robledo;1;8;2019-03-27;1200000;microempresarial
masculino;servicio;tienda;robledo;1;8;2017-08-15;7200000;microempresarial
femenino;comercio;peluqueria;robledo;1;8;2016-08-10;6000000;microempresarial
masculino;comercio;almacen de ropa en;robledo;2;8;2017-03-27;7000000;microempresarial
femenino;comercio;tienda;robledo;1;8;2016-07-28;6000000;microempresarial
masculino;servicio;comidas rapidas;robledo;1;8;2019-05-31;8000000;microempresarial
femenino;comercio;papeleria;robledo;1;2;2019-04-24;1500000;microempresarial
femenino;comercio;tienda;robledo;1;8;2017-03-27;3000000;microempresarial
femenino;industria;fabrica de;robledo;2;8;2018-10-26;5000000;microempresarial
femenino;comercio;tienda;robledo;1;8;2016-08-11;6890000;microempresarial
masculino;comercio;tienda;robledo;1;8;2017-01-20;6000000;microempresarial
femenino;comercio;variedades;robledo;1;8;2017-12-19;7300000;microempresarial
masculino;servicio;recreativo educativo;robledo;1;8;2018-05-03;5000000;microempresarial
femenino;comercio;ferreteria;robledo;1;8;2017-03-01;7377000;microempresarial
femenino;servicio;tienda;robledo;1;8;2016-11-10;6890000;microempresarial
femenino;servicio;tienda de helados;robledo;1;8;2018-07-03;6000000;microempresarial
femenino;industria;fabrica de;robledo;1;8;2017-09-07;6500000;microempresarial
femenino;comercio;tienda;robledo;1;8;2017-07-26;7300000;microempresarial
femenino;servicio;carniceria;robledo;1;8;2017-10-06;7370000;microempresarial
femenino;comercio;variedades;robledo;1;8;2017-07-11;7370000;microempresarial
masculino;servicio;ebanistaria;robledo;1;8;2019-05-10;8281000;microempresarial
femenino;servicio;fotografia;robledo;1;13;2018-08-23;7800000;microempresarial
femenino;industria;fabrica de;robledo;1;13;2017-08-18;3300000;microempresarial
femenino;comercio;tienda;robledo;1;13;2018-03-23;783000;microempresarial
masculino;industria;variedades;robledo;1;13;2016-12-30;6890000;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;13;2016-07-13;6890000;microempresarial
